geometry,pipeline,q,standardize,classifier,cv_accuracy,cv_acc_std,cv_precision,cv_recall,cv_auc,cv_runtime_s,ho_accuracy,ho_precision,ho_recall,ho_auc,ho_runtime_s
AI,C-UMAP,10.0,True,lr,0.8286242633611055,0.015612624144449208,0.8419661952753724,0.8286388474913065,0.9772094207628979,439.4381604194641,0.82328190743338,0.8344391111140773,0.8233208651813303,0.9810923700883312,128.99451065063477
AI,C-UMAP,20.0,False,lr,0.6361990561990561,0.010083679037396183,0.635707820335752,0.6361102831594635,0.9345083759670907,549.7864241600037,0.655680224403927,0.6618677794091277,0.6558627419092535,0.946925315052082,128.6106355190277
AI,C-UMAP,20.0,True,lr,0.8292280250174986,0.015944805122526367,0.8408945018217768,0.8292349726775956,0.9782262637783063,464.59064078330994,0.8338008415147266,0.843807946223242,0.8338483222204153,0.9830621400422835,55.32086992263794
AI,A-Full,,False,svm,0.9194224299487457,0.004526318878078751,0.9228375239161883,0.9193889716840535,0.996629654336064,384.6072120666504,0.9298737727910238,0.9317950341377466,0.9298530926437902,0.9978879749030231,102.13337969779968
AI,A-Full,,True,svm,0.980458804669331,0.004242431058312095,0.9809571894608176,0.9804272230501739,0.9995156879408645,397.1482026576996,0.9831697054698457,0.9834379138956664,0.9831463110532878,0.9998272668095843,93.30539751052856
AI,B-PCA,5.0,False,svm,0.6349933392038655,0.018100217974313874,0.6403708892142226,0.634923000496771,0.9405810645156946,393.511736869812,0.6262272089761571,0.6323656285880299,0.6264704287960102,0.9440911059498678,107.62792778015137
AI,B-PCA,5.0,True,svm,0.7306094063988802,0.00882512846761212,0.7427577306992039,0.7305017386984599,0.9680614425228725,340.62948513031006,0.7398316970546984,0.7517710770507796,0.7399251910879816,0.9710567467631698,86.05384588241577
AI,B-PCA,10.0,False,svm,0.7504481925534557,0.014375327246225004,0.7658720848450409,0.7503924490809737,0.9760317542268515,364.2006449699402,0.7657784011220197,0.77743321081985,0.7658752100612566,0.9796788069754381,114.47262072563171
AI,B-PCA,10.0,True,svm,0.855085461401251,0.009656065425656068,0.8586563675985716,0.8550223546944858,0.9899812210964368,316.58184599876404,0.8681626928471248,0.8720767005468111,0.8682604217487938,0.9921267665098091,78.61783528327942
AI,B-PCA,20.0,False,svm,0.8538774865090654,0.008221147806769505,0.8605100574738909,0.853899652260308,0.9909187980853785,302.74822449684143,0.8611500701262272,0.867956543313155,0.8611861007209846,0.9930687110072453,80.33080697059631
AI,B-PCA,20.0,True,svm,0.9437761069340016,0.006061732795144638,0.9445396215660613,0.9437108792846496,0.9978772779186436,319.8614809513092,0.9424964936886395,0.9440418735560602,0.9425055564590448,0.9985563970780675,85.25880217552185
AI,C-UMAP,5.0,False,svm,0.6313820587504798,0.016978421347133538,0.6498234872036931,0.6312319920516642,0.937851142649856,492.66637206077576,0.6563814866760168,0.6825316467298775,0.6565512007372474,0.9523229285033884,137.97299933433533
AI,C-UMAP,5.0,True,svm,0.8033696854749486,0.012558140182728652,0.8242185244410203,0.8034177844013909,0.9779174001288329,453.9347724914551,0.8267882187938289,0.8440921433907559,0.8268986827126362,0.9808992953763532,136.9304575920105
AI,C-UMAP,10.0,False,svm,0.6223608570976992,0.01562220676146321,0.6398300639160531,0.6221957277694983,0.9344801065067356,527.1884016990662,0.6416549789621319,0.6614501407543409,0.6418279395023582,0.9473157358196925,121.4669451713562
AI,C-UMAP,10.0,True,svm,0.7916412653254759,0.015562028094599563,0.8117483382296088,0.7917337307501241,0.9768072947895634,436.11203932762146,0.8127629733520336,0.8302432266967077,0.8128259337561663,0.9795978311976395,116.3699095249176
AI,C-UMAP,20.0,False,svm,0.6130456772562036,0.01076291883936718,0.6270457321050529,0.612876304023845,0.9314501317073048,500.139285326004,0.6409537166900421,0.6584229428054397,0.641123217867404,0.9473003263855588,124.65221166610718
AI,C-UMAP,20.0,True,svm,0.7639811239811239,0.010792982075703356,0.7879689432551489,0.7641828117237954,0.9752636421120908,499.61055731773376,0.7959326788218793,0.8119305725065562,0.7959397191955332,0.9800047695727501,138.86510515213013
